Optimization,"N (# of x,y steps)",n (# of t steps),# of threads,# of samples,total time,average time
2,32,1000,1,5,0.0129488,0.00258976
2,32,1000,2,5,0.02027824,0.004055648
2,32,1000,3,5,0.02187053,0.004374106
2,32,1000,4,5,0.02867996,0.0057359920000000005
2,32,1000,5,5,0.03959515,0.00791903
2,32,1000,6,5,0.024077229999999998,0.004815445999999999
2,32,1000,7,5,8.32180262,1.664360524
2,32,1000,8,5,8.362243,1.6724485999999998
2,64,2000,1,5,0.071458,0.014291599999999998
2,64,2000,2,5,0.0926337,0.01852674
2,64,2000,3,5,0.08833070000000001,0.017666140000000004
2,64,2000,4,5,0.0977601,0.01955202
2,64,2000,5,5,0.09503740000000001,0.01900748
2,64,2000,6,5,0.0838314,0.01676628
2,64,2000,7,5,2.1042787,0.42085574000000003
2,64,2000,8,5,3.6647177999999996,0.7329435599999999
2,128,4000,1,5,0.49575499999999995,0.09915099999999999
2,128,4000,2,5,1.219408,0.2438816
2,128,4000,3,5,0.8824179999999999,0.1764836
2,128,4000,4,5,0.7749980000000001,0.15499960000000002
2,128,4000,5,5,0.660417,0.13208340000000002
2,128,4000,6,5,0.3586217,0.07172434
2,128,4000,7,5,0.9444929999999999,0.18889859999999997
2,128,4000,8,5,0.7492372999999999,0.14984746
2,256,8000,1,5,3.7822169999999997,0.7564434
2,256,8000,2,5,4.238106,0.8476212000000001
2,256,8000,3,5,4.2814049999999995,0.8562809999999998
2,256,8000,4,5,3.913524,0.7827048
2,256,8000,5,5,3.412156,0.6824312
2,256,8000,6,5,3.198734,0.6397468
2,256,8000,7,5,2.977833,0.5955666
2,256,8000,8,5,3.667149,0.7334298
2,512,16000,1,5,34.11823,6.823645999999999
2,512,16000,2,5,38.77892,7.755784
2,512,16000,3,5,26.084699999999998,5.216939999999999
2,512,16000,4,5,24.85029,4.970058
2,512,16000,5,5,21.531640000000003,4.306328000000001
2,512,16000,6,5,18.84085,3.76817
2,512,16000,7,5,16.36598,3.273196
2,512,16000,8,5,13.996029999999998,2.7992059999999994
2,1024,32000,1,5,279.2645,55.8529
2,1024,32000,2,5,210.45319999999998,42.09063999999999
2,1024,32000,3,5,158.139,31.6278
2,1024,32000,4,5,133.9386,26.78772
2,1024,32000,5,5,134.8917,26.978339999999996
2,1024,32000,6,5,110.42239999999998,22.084479999999996
2,1024,32000,7,5,98.166,19.6332
2,1024,32000,8,5,149.9779,29.99558
2,2048,64000,1,5,2753.8790000000004,550.7758000000001
2,2048,64000,2,5,1701.4429999999998,340.2886
2,2048,64000,3,5,1178.973,235.7946
2,2048,64000,4,5,1008.709,201.74179999999998
2,2048,64000,5,5,924.387,184.8774
2,2048,64000,6,5,892.814,178.56279999999998
2,2048,64000,7,5,1343.845,268.769
2,2048,64000,8,5,1361.749,272.3498
